fecha,titulo_rutina,nombre_ejercicio,grupo_principal,grupos_secundarios,cabezas_regiones,set_index,peso_kg,reps,tipo_set
"Friday, Nov 14, 2025 at 2:27pm",PULL,Lat Pulldown (Cable),Espalda,"Bíceps, Hombro, Antebrazo","Dorsal Ancho (Latissimus Dorsi), Redondo Mayor (Teres Major), Romboides, Trapecio (porción media/inferior), Bíceps braquial, Deltoides posterior",1,45.3592,12,normal
"Friday, Nov 14, 2025 at 2:27pm",PULL,Lat Pulldown (Cable),Espalda,"Bíceps, Hombro, Antebrazo","Dorsal Ancho (Latissimus Dorsi), Redondo Mayor (Teres Major), Romboides, Trapecio (porción media/inferior), Bíceps braquial, Deltoides posterior",2,45.3592,12,normal
"Friday, Nov 14, 2025 at 2:27pm",PULL,Lat Pulldown (Cable),Espalda,"Bíceps, Hombro, Antebrazo","Dorsal Ancho (Latissimus Dorsi), Redondo Mayor (Teres Major), Romboides, Trapecio (porción media/inferior), Bíceps braquial, Deltoides posterior",3,45.3592,12,normal
"Friday, Nov 14, 2025 at 2:27pm",PULL,Lat Pulldown (Cable),Espalda,"Bíceps, Hombro, Antebrazo","Dorsal Ancho (Latissimus Dorsi), Redondo Mayor (Teres Major), Romboides, Trapecio (porción media/inferior), Bíceps braquial, Deltoides posterior",4,45.3592,12,normal
"Friday, Nov 14, 2025 at 2:27pm",PULL,Iso-Lateral Row (Machine),Espalda,"Bíceps, Hombro, Antebrazo","Dorsal Ancho, Trapecio (fibras medias e inferiores), Romboides, Bíceps braquial (cabeza larga y corta), Deltoides posterior",1,60,12,normal
"Friday, Nov 14, 2025 at 2:27pm",PULL,Iso-Lateral Row (Machine),Espalda,"Bíceps, Hombro, Antebrazo","Dorsal Ancho, Trapecio (fibras medias e inferiores), Romboides, Bíceps braquial (cabeza larga y corta), Deltoides posterior",2,70,12,normal
"Friday, Nov 14, 2025 at 2:27pm",PULL,Iso-Lateral Row (Machine),Espalda,"Bíceps, Hombro, Antebrazo","Dorsal Ancho, Trapecio (fibras medias e inferiores), Romboides, Bíceps braquial (cabeza larga y corta), Deltoides posterior",3,70,12,normal
"Friday, Nov 14, 2025 at 2:27pm",PULL,Iso-Lateral Row (Machine),Espalda,"Bíceps, Hombro, Antebrazo","Dorsal Ancho, Trapecio (fibras medias e inferiores), Romboides, Bíceps braquial (cabeza larga y corta), Deltoides posterior",4,70,12,normal
"Friday, Nov 14, 2025 at 2:27pm",PULL,Lat Pulldown - Close Grip (Cable),Espalda,"Bíceps, Hombro, Antebrazo","Dorsal ancho (Latissimus Dorsi), Romboides, Trapecio (fibras medias e inferiores), Bíceps braquial (cabeza larga), Bíceps braquial (cabeza corta), Deltoides posterior",1,100,12,normal
"Friday, Nov 14, 2025 at 2:27pm",PULL,Lat Pulldown - Close Grip (Cable),Espalda,"Bíceps, Hombro, Antebrazo","Dorsal ancho (Latissimus Dorsi), Romboides, Trapecio (fibras medias e inferiores), Bíceps braquial (cabeza larga), Bíceps braquial (cabeza corta), Deltoides posterior",2,100,12,normal
